#	up	fill
AQZ88916.1	K14761	up
AQZ88923.1	K01286	up
AQZ88923.1	K07258	up
AQZ88927.1	K15519	up
AQZ88928.1	K15518	up
AQZ88944.1	K02341	up
AQZ88950.1	K06284	up
AQZ88952.1	K03424	up
AQZ88970.1	K03328	up
AQZ88971.1	K02428	up
AQZ88971.1	K02499	up
AQZ88975.1	K13052	up
AQZ88976.1	K07571	up
AQZ88981.1	K00760	up
AQZ88981.1	K15780	up
AQZ88983.1	K03525	up
AQZ88987.1	K01665	up
AQZ88988.1	K01664	up
AQZ88989.1	K02619	up
AQZ88992.1	K00950	up
AQZ89000.1	K04485	up
AQZ89001.1	K07067	up
AQZ89015.1	K02867	up
AQZ89016.1	K02863	up
AQZ89019.1	K00564	up
AQZ89022.1	K07590	up
AQZ89023.1	K02950	up
AQZ89024.1	K02992	up
AQZ89025.1	K02355	up
AQZ89028.1	K02946	up
AQZ89029.1	K02906	up
AQZ89030.1	K02926	up
AQZ89031.1	K02892	up
AQZ89033.1	K02965	up
AQZ89034.1	K02890	up
AQZ89035.1	K02982	up
AQZ89036.1	K02878	up
AQZ89038.1	K02961	up
AQZ89039.1	K02874	up
AQZ89040.1	K02895	up
AQZ89041.1	K02931	up
AQZ89043.1	K02994	up
AQZ89044.1	K02933	up
AQZ89045.1	K02881	up
AQZ89050.1	K01265	up
AQZ89052.1	K02518	up
AQZ89054.1	K02952	up
AQZ89062.1	K02871	up
AQZ89072.1	K03321	up
AQZ89074.1	K07017	up
AQZ89075.1	K02015	up
AQZ89076.1	K02015	up
AQZ89077.1	K02016	up
AQZ89078.1	K21701	up
AQZ89089.1	K18672	up
AQZ89091.1	K03431	up
AQZ89092.1	K00820	up
AQZ89137.1	K17103	up
AQZ89142.1	K13653	up
AQZ89143.1	K07146	up
AQZ89182.1	K07039	up
AQZ89194.1	K09815	up
AQZ89195.1	K02074	up
AQZ89195.1	K09817	up
AQZ89196.1	K09816	up
AQZ89203.1	K08369	up
AQZ89206.1	K02000	up
AQZ89213.1	K00016	up
AQZ89214.1	K03303	up
AQZ89223.1	K00891	up
AQZ89231.1	K08986	up
AQZ89232.1	K07089	up
AQZ89234.1	K21567	up
AQZ89236.1	K00363	up
AQZ89237.1	K00362	up
AQZ89241.1	K09007	up
AQZ89246.1	K02030	up
AQZ89246.1	K02424	up
AQZ89263.1	K06133	up
AQZ89291.1	K02013	up
AQZ93002.1	K00135	up
AQZ89314.1	K07160	up
AQZ89331.1	K03719	up
AQZ89353.1	K01990	up
AQZ89372.1	K17752	up
AQZ89373.1	K07315	up
AQZ89381.1	K03095	up
AQZ89407.1	K03719	up
AQZ89408.1	K03719	up
