#	up	fill
AQZ88929.1	K06306	up
AQZ88936.1	K06317	up
AQZ88956.1	K06436	up
AQZ88958.1	K06423	up
AQZ88965.1	K02897	up
AQZ88969.1	K04769	up
AQZ88977.1	K06382	up
AQZ88978.1	K07114	up
AQZ89005.1	K09698	up
AQZ89066.1	K01448	up
AQZ89068.1	K06294	up
AQZ89069.1	K06349	up
AQZ89080.1	K01207	up
AQZ89081.1	K21469	up
AQZ89082.1	K02808	up
AQZ89082.1	K02809	up
AQZ89082.1	K02810	up
AQZ89124.1	K02445	up
AQZ89144.1	K11102	up
AQZ89170.1	K01449	up
AQZ89183.1	K11640	up
AQZ89212.1	K01176	up
AQZ89218.1	K09190	up
AQZ89219.1	K03293	up
AQZ89220.1	K09967	up
AQZ89227.1	K07074	up
AQZ89274.1	K03305	up
AQZ89281.1	K02004	up
AQZ89284.1	K06359	up
AQZ89284.1	K06361	up
AQZ89297.1	K00375	up
AQZ89299.1	K05340	up
AQZ89300.1	K00034	up
AQZ89308.1	K07246	up
AQZ89371.1	K17762	up
AQZ89377.1	K05518	up
AQZ89380.1	K06959	up
AQZ89447.1	K06994	up
AQZ89447.1	K11625	up
AQZ89454.1	K15977	up
AQZ89460.1	K13993	up
AQZ89479.1	K01077	up
AQZ89492.1	K01218	up
AQZ89534.1	K06324	up
AQZ89593.1	K06332	up
AQZ89594.1	K06333	up
AQZ89595.1	K06334	up
AQZ89600.1	K07720	up
AQZ89609.1	K18197	up
AQZ89609.1	K18198	up
AQZ89627.1	K14338	up
AQZ89628.1	K00978	up
AQZ89629.2	K01709	up
AQZ89629.2	K01710	up
AQZ89635.1	K03294	up
AQZ89636.1	K00128	up
AQZ89636.1	K21802	up
AQZ89659.1	K03319	up
AQZ89698.1	K01567	up
AQZ89707.1	K21416	up
AQZ89708.1	K21417	up
AQZ89709.1	K00627	up
AQZ89711.1	K06425	up
AQZ89717.1	K01232	up
AQZ89718.1	K03481	up
AQZ89719.1	K02749	up
AQZ89719.1	K02750	up
AQZ89753.1	K06428	up
AQZ89758.1	K20534	up
AQZ89764.1	K06422	up
AQZ89776.1	K06329	up
AQZ89776.1	K06439	up
AQZ89783.1	K15554	up
AQZ89794.1	K07180	up
AQZ89795.1	K09786	up
AQZ89837.1	K06415	up
AQZ89869.1	K06418	up
AQZ89869.1	K06419	up
AQZ89869.1	K06420	up
AQZ89912.1	K00648	up
AQZ89922.1	K00666	up
AQZ89922.1	K01897	up
AQZ89937.1	K02250	up
AQZ89962.2	K06299	up
AQZ89962.2	K06304	up
AQZ89963.1	K06303	up
AQZ89964.1	K06302	up
AQZ89965.1	K06301	up
AQZ89966.1	K06300	up
AQZ89967.1	K06299	up
AQZ89969.1	K06330	up
AQZ89973.1	K01953	up
AQZ89983.1	K00433	up
AQZ89984.1	K00860	up
AQZ89985.1	K00958	up
AQZ89986.1	K00390	up
AQZ89987.1	K05979	up
AQZ89988.1	K08097	up
AQZ89990.1	K18983	up
AQZ89991.1	K08221	up
AQZ90031.1	K02035	up
AQZ90035.1	K15580	up
AQZ90065.1	K06344	up
AQZ90066.1	K06343	up
AQZ90067.1	K06342	up
AQZ90068.1	K06341	up
AQZ90069.1	K06340	up
AQZ93035.1	K03657	up
lcl|CP020102.1_cds_1247	K02768	up
lcl|CP020102.1_cds_1247	K02769	up
lcl|CP020102.1_cds_1247	K02770	up
AQZ90093.1	K01809	up
AQZ90122.1	K03885	up
AQZ90125.1	K08322	up
AQZ90131.1	K07090	up
AQZ90137.1	K01447	up
AQZ90140.1	K07217	up
AQZ90177.1	K01447	up
AQZ90191.1	K02031	up
AQZ90191.1	K15583	up
AQZ90191.1	K16202	up
AQZ90192.1	K01297	up
AQZ90193.1	K19802	up
AQZ90207.1	K00147	up
AQZ90213.1	K13275	up
AQZ90229.1	K15973	up
AQZ90230.1	K03429	up
AQZ90231.1	K07098	up
AQZ90234.1	K01971	up
AQZ90235.1	K10979	up
AQZ90240.1	K06421	up
AQZ90262.1	K02556	up
AQZ90272.1	K22278	up
AQZ90301.1	K00219	up
AQZ90319.1	K06437	up
AQZ90326.1	K06147	up
AQZ90326.1	K11085	up
AQZ90327.1	K02021	up
AQZ90327.1	K06147	up
AQZ90327.1	K18890	up
AQZ90373.1	K07175	up
AQZ90375.1	K01425	up
AQZ90382.1	K02274	up
AQZ90383.1	K02276	up
AQZ90384.1	K02277	up
AQZ90385.1	K02862	up
AQZ90401.1	K06314	up
AQZ90408.1	K08384	up
AQZ90412.1	K03588	up
AQZ90421.1	K13276	up
AQZ93056.1	K06383	up
AQZ90453.1	K01537	up
AQZ90468.1	K00949	up
AQZ90517.1	K02385	up
AQZ90528.1	K02404	up
AQZ90551.1	K02519	up
AQZ90561.1	K06410	up
AQZ90562.1	K06411	up
AQZ90583.1	K06416	up
AQZ90585.1	K00639	up
AQZ90585.1	K00652	up
AQZ90587.1	K02028	up
AQZ90588.1	K06328	up
AQZ90610.1	K17734	up
