 ,Label,Area
96,kbaseK_NA_NA_dhbps_co_ps.czi,18919517.058
97,kbaseK_NA_NA_dhbps_ps-02_1.czi,20314192.803
98,kbaseK_NA_NA_dhbps_ps-03_1.czi,22098632.903
99,kbaseK_NA_NA_dhbps_ps-04_1.czi,19777383.907
100,kbaseK_NA_NA_dhbps_ps_1.czi,18383564.316
101,kbaseKG_NA_NA_bsps_bs-02_1.czi,46766799.617
102,kbaseKG_NA_NA_bsps_bs-03_1.czi,47300611.973
103,kbaseKG_NA_NA_bsps_bs-04_1.czi,46584224.662
104,kbaseKG_NA_NA_bsps_bs_1.czi,53454864.843
105,kbaseKG_NA_NA_bsps_co-02_bs.czi,40411136.392
106,kbaseKG_NA_NA_bsps_co-02_ps.czi,12140485.412
107,kbaseKG_NA_NA_bsps_co-03_bs.czi,40231557.977
108,kbaseKG_NA_NA_bsps_co-03_ps.czi,11133861.712
109,kbaseKG_NA_NA_bsps_co-04_bs.czi,50448906.254
110,kbaseKG_NA_NA_bsps_co-04_ps.czi,11557658.209
111,kbaseKG_NA_NA_bsps_co_bs.czi,38114287.800
112,kbaseKG_NA_NA_bsps_co_ps.czi,12540095.544
113,kbaseKG_NA_NA_bsps_ps-02_1.czi,16948007.191
114,kbaseKG_NA_NA_bsps_ps-02_1.czi,2276300.883
115,kbaseKG_NA_NA_bsps_ps-03_1.czi,15214508.287
116,kbaseKG_NA_NA_bsps_ps-03_1.czi,2246549.512
117,kbaseKG_NA_NA_bsps_ps-04_1.czi,20033160.075
118,kbaseKG_NA_NA_bsps_ps_1.czi,16845268.647
119,kbaseKG_NA_NA_dhbps_bs-02_1.czi,23758288.478
120,kbaseKG_NA_NA_dhbps_bs-03_1.czi,21697952.578
121,kbaseKG_NA_NA_dhbps_bs-04_1.czi,24567782.595
122,kbaseKG_NA_NA_dhbps_bs_1.czi,25574406.295
123,kbaseKG_NA_NA_dhbps_co-02_bs.czi,23422033.782
124,kbaseKG_NA_NA_dhbps_co-02_ps.czi,18139346.233
125,kbaseKG_NA_NA_dhbps_co-03_bs.czi,24092402.787
126,kbaseKG_NA_NA_dhbps_co-03_ps.czi,16686237.941
127,kbaseKG_NA_NA_dhbps_co-04_bs.czi,23633075.876
128,kbaseKG_NA_NA_dhbps_co-04_ps.czi,18563570.808
129,kbaseKG_NA_NA_dhbps_co_bs.czi,24147838.793
130,kbaseKG_NA_NA_dhbps_co_ps.czi,17258149.173
131,kbaseKG_NA_NA_dhbps_ps-02_1.czi,21654716.774
132,kbaseKG_NA_NA_dhbps_ps-03_1.czi,26131120.785
