 ,Label,Area
103,fecit_500_NA_dhbps_ps_1.czi,26968439.925
104,fecl_100_NA_bsps_bs-02_1.czi,100432920.593
105,fecl_100_NA_bsps_bs-03_1.czi,83511668.231
106,fecl_100_NA_bsps_bs-04_1.czi,89354708.926
107,fecl_100_NA_bsps_bs_1.czi,109748952.179
108,fecl_100_NA_bsps_co-02_bs.czi,61648049.750
109,fecl_100_NA_bsps_co-02_ps.czi,10216278.084
110,fecl_100_NA_bsps_co-03_bs.czi,74430865.106
111,fecl_100_NA_bsps_co-03_ps.czi,10356901.467
112,fecl_100_NA_bsps_co-04_bs.czi,84853262.395
113,fecl_100_NA_bsps_co-04_ps.czi,10311953.354
114,fecl_100_NA_bsps_co_bs.czi,65332296.773
115,fecl_100_NA_bsps_co_ps.czi,10124883.587
116,fecl_100_NA_bsps_ps-02_1.czi,17427881.811
117,fecl_100_NA_bsps_ps-03_1.czi,17878647.176
118,fecl_100_NA_bsps_ps-04_1.czi,18206126.288
119,fecl_100_NA_bsps_ps_1.czi,17054598.432
120,fecl_100_NA_dhbps_bs-02_1.czi,34379313.621
121,fecl_100_NA_dhbps_bs-03_1.czi,41964842.843
122,fecl_100_NA_dhbps_bs-04_1.czi,48386429.968
123,fecl_100_NA_dhbps_bs_1.czi,32463881.877
124,fecl_100_NA_dhbps_co-02_bs.czi,44759545.299
125,fecl_100_NA_dhbps_co-02_ps.czi,12961537.616
126,fecl_100_NA_dhbps_co-03_bs.czi,38378839.553
127,fecl_100_NA_dhbps_co-03_ps.czi,13015903.429
128,fecl_100_NA_dhbps_co-04_bs.czi,36707197.814
129,fecl_100_NA_dhbps_co-04_ps.czi,12542235.930
130,fecl_100_NA_dhbps_co_bs.czi,53883798.268
131,fecl_100_NA_dhbps_co_ps.czi,11796311.287
132,fecl_100_NA_dhbps_ps-02_1.czi,19170156.299
133,fecl_100_NA_dhbps_ps-03_1.czi,17621800.814
134,fecl_100_NA_dhbps_ps-04_1.czi,18165030.870
135,fecl_100_NA_dhbps_ps_1.czi,20886746.152
136,fecl_25_NA_bsps_bs-02_1.czi,53856615.361
137,fecl_25_NA_bsps_bs-03_1.czi,60340701.768
138,fecl_25_NA_bsps_bs_1.czi,77738618.170
139,fecl_25_NA_bsps_co-02_bs.czi,40168844.657
140,fecl_25_NA_bsps_co-02_ps.czi,6797867.046
141,fecl_25_NA_bsps_co-03_bs.czi,67065153.562
142,fecl_25_NA_bsps_co-03_ps.czi,10497096.773
143,fecl_25_NA_bsps_co_bs.czi,49171095.604
144,fecl_25_NA_bsps_co_ps.czi,10258443.695
145,fecl_25_NA_bsps_ps-02_1.czi,13988494.986
146,fecl_25_NA_bsps_ps-03_1.czi,17599112.719
147,fecl_25_NA_bsps_ps_1.czi,16294975.316
148,fecl_25_NA_dhbps_bs-02_1.czi,52826233.372
149,fecl_25_NA_dhbps_bs-03_1.czi,52034718.500
150,fecl_25_NA_dhbps_bs-04_1.czi,63657230.416
151,fecl_25_NA_dhbps_bs_1.czi,36556514.615
152,fecl_25_NA_dhbps_co-02_bs.czi,44310278.204
153,fecl_25_NA_dhbps_co-02_ps.czi,14100437.192
154,fecl_25_NA_dhbps_co-03_bs.czi,40012810.492
155,fecl_25_NA_dhbps_co-03_ps.czi,13005843.613
156,fecl_25_NA_dhbps_co-04_bs.czi,32971367.480
157,fecl_25_NA_dhbps_co-04_ps.czi,12570274.991
158,fecl_25_NA_dhbps_co_bs.czi,46227422.257
159,fecl_25_NA_dhbps_co_ps.czi,14440972.660
160,fecl_25_NA_dhbps_ps-02_1.czi,19632907.828
